id,name,year,count
969,"Intell. Data Anal.",2019,36
970,"Enterprise IS",2007,24
970,"Enterprise IS",2008,25
970,"Enterprise IS",2009,19
970,"Enterprise IS",2010,20
970,"Enterprise IS",2011,25
970,"Enterprise IS",2012,23
970,"Enterprise IS",2013,26
970,"Enterprise IS",2014,28
970,"Enterprise IS",2015,38
970,"Enterprise IS",2016,46
970,"Enterprise IS",2017,74
970,"Enterprise IS",2018,69
970,"Enterprise IS",2019,58
971,"Science in China Series F: Information Sciences",2001,49
971,"Science in China Series F: Information Sciences",2002,40
971,"Science in China Series F: Information Sciences",2003,41
971,"Science in China Series F: Information Sciences",2004,59
971,"Science in China Series F: Information Sciences",2005,59
971,"Science in China Series F: Information Sciences",2006,60
971,"Science in China Series F: Information Sciences",2007,71
971,"Science in China Series F: Information Sciences",2008,165
971,"Science in China Series F: Information Sciences",2009,228
972,"SCIENCE CHINA Information Sciences",2010,240
972,"SCIENCE CHINA Information Sciences",2011,236
972,"SCIENCE CHINA Information Sciences",2012,253
972,"SCIENCE CHINA Information Sciences",2013,260
972,"SCIENCE CHINA Information Sciences",2014,276
972,"SCIENCE CHINA Information Sciences",2015,192
972,"SCIENCE CHINA Information Sciences",2016,258
972,"SCIENCE CHINA Information Sciences",2017,288
972,"SCIENCE CHINA Information Sciences",2018,332
972,"SCIENCE CHINA Information Sciences",2019,227
973,IxD&A,2005,10
973,IxD&A,2006,6
973,IxD&A,2008,25
973,IxD&A,2009,49
973,IxD&A,2010,8
973,IxD&A,2011,7
973,IxD&A,2012,17
973,IxD&A,2013,26
973,IxD&A,2014,32
973,IxD&A,2015,40
973,IxD&A,2016,36
973,IxD&A,2017,46
973,IxD&A,2018,35
974,"Education for Information",1998,5
974,"Education for Information",1999,25
974,"Education for Information",2000,20
974,"Education for Information",2001,23
974,"Education for Information",2002,18
974,"Education for Information",2003,18
974,"Education for Information",2004,14
974,"Education for Information",2005,15
974,"Education for Information",2006,15
974,"Education for Information",2007,18
974,"Education for Information",2008,22
974,"Education for Information",2009,13
974,"Education for Information",2011,28
974,"Education for Information",2012,18
974,"Education for Information",2013,8
974,"Education for Information",2015,14
974,"Education for Information",2016,27
974,"Education for Information",2017,18
974,"Education for Information",2018,26
974,"Education for Information",2019,33
975,"SIAM J. Appl. Algebra Geom.",2017,33
975,"SIAM J. Appl. Algebra Geom.",2018,25
975,"SIAM J. Appl. Algebra Geom.",2019,17
976,HCIS,2011,6
976,HCIS,2012,18
976,HCIS,2013,22
976,HCIS,2014,17
976,HCIS,2015,37
976,HCIS,2016,24
976,HCIS,2017,42
976,HCIS,2018,38
976,HCIS,2019,29
977,Computers,2012,3
977,Computers,2013,7
977,Computers,2014,6
977,Computers,2015,15
977,Computers,2016,31
977,Computers,2017,29
977,Computers,2018,70
977,Computers,2019,50
978,Program,1980,14
978,Program,2003,101
978,Program,2004,84
978,Program,2005,62
978,Program,2006,66
978,Program,2007,56
978,Program,2008,66
978,Program,2009,49
978,Program,2010,44
978,Program,2011,49
978,Program,2012,28
978,Program,2013,30
978,Program,2014,36
978,Program,2015,34
978,Program,2016,21
978,Program,2017,26
979,"Data Technol. Appl.",2018,28
979,"Data Technol. Appl.",2019,14
980,"J. Discrete Algorithms",2003,29
980,"J. Discrete Algorithms",2004,29
980,"J. Discrete Algorithms",2005,27
980,"J. Discrete Algorithms",2006,39
980,"J. Discrete Algorithms",2007,62
980,"J. Discrete Algorithms",2008,56
980,"J. Discrete Algorithms",2009,48
980,"J. Discrete Algorithms",2010,36
980,"J. Discrete Algorithms",2011,35
980,"J. Discrete Algorithms",2012,106
980,"J. Discrete Algorithms",2013,49
980,"J. Discrete Algorithms",2014,44
980,"J. Discrete Algorithms",2015,71
980,"J. Discrete Algorithms",2016,21
980,"J. Discrete Algorithms",2017,28
980,"J. Discrete Algorithms",2018,31
981,"Studia Logica",1985,30
981,"Studia Logica",1986,33
981,"Studia Logica",1987,34
981,"Studia Logica",1988,38
981,"Studia Logica",1989,44
981,"Studia Logica",1990,46
981,"Studia Logica",1991,38
981,"Studia Logica",1992,24
981,"Studia Logica",1993,31
981,"Studia Logica",1994,31
981,"Studia Logica",1995,35
981,"Studia Logica",1996,41
981,"Studia Logica",1997,37
981,"Studia Logica",1998,39
981,"Studia Logica",1999,38
981,"Studia Logica",2000,59
981,"Studia Logica",2001,50
981,"Studia Logica",2002,63
981,"Studia Logica",2003,61
981,"Studia Logica",2004,66
981,"Studia Logica",2005,56
981,"Studia Logica",2006,59
981,"Studia Logica",2007,73
981,"Studia Logica",2008,65
981,"Studia Logica",2009,57
981,"Studia Logica",2010,56
981,"Studia Logica",2011,61
981,"Studia Logica",2012,65
981,"Studia Logica",2013,62
981,"Studia Logica",2014,62
981,"Studia Logica",2015,62
981,"Studia Logica",2016,52
981,"Studia Logica",2017,53
981,"Studia Logica",2018,56
981,"Studia Logica",2019,39
982,"J. Simulation",2010,30
982,"J. Simulation",2011,25
982,"J. Simulation",2012,26
982,"J. Simulation",2013,27
982,"J. Simulation",2014,29
982,"J. Simulation",2015,30
982,"J. Simulation",2016,29
982,"J. Simulation",2017,35
983,"Spatial Cognition & Computation",1999,23
983,"Spatial Cognition & Computation",2000,19
983,"Spatial Cognition & Computation",2003,18
983,"Spatial Cognition & Computation",2004,15
983,"Spatial Cognition & Computation",2005,15
983,"Spatial Cognition & Computation",2006,14
983,"Spatial Cognition & Computation",2007,15
983,"Spatial Cognition & Computation",2008,15
983,"Spatial Cognition & Computation",2009,18
983,"Spatial Cognition & Computation",2010,13
983,"Spatial Cognition & Computation",2011,13
983,"Spatial Cognition & Computation",2012,15
983,"Spatial Cognition & Computation",2013,14
983,"Spatial Cognition & Computation",2014,14
983,"Spatial Cognition & Computation",2015,13
983,"Spatial Cognition & Computation",2016,14
983,"Spatial Cognition & Computation",2017,14
983,"Spatial Cognition & Computation",2018,17
983,"Spatial Cognition & Computation",2019,10
984,"Adv. Data Analysis and Classification",2007,16
984,"Adv. Data Analysis and Classification",2008,19
984,"Adv. Data Analysis and Classification",2009,20
984,"Adv. Data Analysis and Classification",2010,20
984,"Adv. Data Analysis and Classification",2011,22
984,"Adv. Data Analysis and Classification",2012,24
984,"Adv. Data Analysis and Classification",2013,24
984,"Adv. Data Analysis and Classification",2014,25
984,"Adv. Data Analysis and Classification",2015,26
984,"Adv. Data Analysis and Classification",2016,31
984,"Adv. Data Analysis and Classification",2017,38
984,"Adv. Data Analysis and Classification",2018,43
984,"Adv. Data Analysis and Classification",2019,36
985,IJEB,2003,26
985,IJEB,2004,43
985,IJEB,2005,35
985,IJEB,2006,31
985,IJEB,2007,35
985,IJEB,2008,33
985,IJEB,2009,32
985,IJEB,2010,27
985,IJEB,2011,27
985,IJEB,2012,10
985,IJEB,2013,8
985,IJEB,2014,18
985,IJEB,2015,16
985,IJEB,2016,4
985,IJEB,2017,11
985,IJEB,2018,19
985,IJEB,2019,4
986,"IEEE Trans. Biomed. Circuits and Systems",2007,31
986,"IEEE Trans. Biomed. Circuits and Systems",2008,33
986,"IEEE Trans. Biomed. Circuits and Systems",2009,50
986,"IEEE Trans. Biomed. Circuits and Systems",2010,52
986,"IEEE Trans. Biomed. Circuits and Systems",2011,61
986,"IEEE Trans. Biomed. Circuits and Systems",2012,61
986,"IEEE Trans. Biomed. Circuits and Systems",2013,80
986,"IEEE Trans. Biomed. Circuits and Systems",2014,85
986,"IEEE Trans. Biomed. Circuits and Systems",2015,84
986,"IEEE Trans. Biomed. Circuits and Systems",2016,103
986,"IEEE Trans. Biomed. Circuits and Systems",2017,137
986,"IEEE Trans. Biomed. Circuits and Systems",2018,137
986,"IEEE Trans. Biomed. Circuits and Systems",2019,68
987,"Int. J. Systems Assurance Engineering and Management",2010,46
987,"Int. J. Systems Assurance Engineering and Management",2011,35
987,"Int. J. Systems Assurance Engineering and Management",2012,37
987,"Int. J. Systems Assurance Engineering and Management",2013,41
987,"Int. J. Systems Assurance Engineering and Management",2014,72
987,"Int. J. Systems Assurance Engineering and Management",2015,49
987,"Int. J. Systems Assurance Engineering and Management",2016,45
987,"Int. J. Systems Assurance Engineering and Management",2017,118
987,"Int. J. Systems Assurance Engineering and Management",2018,117
987,"Int. J. Systems Assurance Engineering and Management",2019,22
988,"Computing in Science and Engineering",1999,81
988,"Computing in Science and Engineering",2000,69
988,"Computing in Science and Engineering",2001,84
988,"Computing in Science and Engineering",2002,79
988,"Computing in Science and Engineering",2003,89
988,"Computing in Science and Engineering",2004,46
988,"Computing in Science and Engineering",2005,84
988,"Computing in Science and Engineering",2006,86
988,"Computing in Science and Engineering",2007,100
988,"Computing in Science and Engineering",2008,93
988,"Computing in Science and Engineering",2009,87
988,"Computing in Science and Engineering",2010,84
988,"Computing in Science and Engineering",2011,82
988,"Computing in Science and Engineering",2012,82
988,"Computing in Science and Engineering",2013,77
988,"Computing in Science and Engineering",2014,74
988,"Computing in Science and Engineering",2015,80
988,"Computing in Science and Engineering",2016,76
988,"Computing in Science and Engineering",2017,76
988,"Computing in Science and Engineering",2018,76
988,"Computing in Science and Engineering",2019,53
989,STTT,1997,12
989,STTT,1998,16
989,STTT,1999,9
989,STTT,2000,16
989,STTT,2001,27
989,STTT,2002,9
989,STTT,2003,37
989,STTT,2004,43
989,STTT,2005,31
989,STTT,2006,47
989,STTT,2007,35
989,STTT,2008,41
989,STTT,2009,38
989,STTT,2010,32
989,STTT,2011,37
989,STTT,2012,37
989,STTT,2013,36
989,STTT,2014,46
989,STTT,2015,46
989,STTT,2016,41
989,STTT,2017,42
989,STTT,2018,40
989,STTT,2019,27
990,"IEEE Wireless Commun.",2002,57
990,"IEEE Wireless Commun.",2003,49
990,"IEEE Wireless Commun.",2004,57
990,"IEEE Wireless Commun.",2005,68
990,"IEEE Wireless Commun.",2006,75
990,"IEEE Wireless Commun.",2007,76
990,"IEEE Wireless Commun.",2008,70
990,"IEEE Wireless Commun.",2009,60
990,"IEEE Wireless Commun.",2010,71
990,"IEEE Wireless Commun.",2011,64
990,"IEEE Wireless Commun.",2012,78
990,"IEEE Wireless Commun.",2013,101
990,"IEEE Wireless Commun.",2014,106
990,"IEEE Wireless Commun.",2015,117
990,"IEEE Wireless Commun.",2016,117
990,"IEEE Wireless Commun.",2017,134
990,"IEEE Wireless Commun.",2018,125
990,"IEEE Wireless Commun.",2019,97
991,"IEEE Personal Commun.",1994,20
991,"IEEE Personal Commun.",1995,33
991,"IEEE Personal Commun.",1996,32
991,"IEEE Personal Commun.",1997,35
991,"IEEE Personal Commun.",1998,40
991,"IEEE Personal Commun.",1999,39
991,"IEEE Personal Commun.",2000,47
991,"IEEE Personal Commun.",2001,42
992,"IEEE Computer Graphics and Applications",1984,81
992,"IEEE Computer Graphics and Applications",1985,56
992,"IEEE Computer Graphics and Applications",1986,79
992,"IEEE Computer Graphics and Applications",1987,76
992,"IEEE Computer Graphics and Applications",1988,37
992,"IEEE Computer Graphics and Applications",1989,48
992,"IEEE Computer Graphics and Applications",1990,47
992,"IEEE Computer Graphics and Applications",1991,56
992,"IEEE Computer Graphics and Applications",1992,45
992,"IEEE Computer Graphics and Applications",1993,56
992,"IEEE Computer Graphics and Applications",1994,68
992,"IEEE Computer Graphics and Applications",1995,69
992,"IEEE Computer Graphics and Applications",1996,82
992,"IEEE Computer Graphics and Applications",1997,81
992,"IEEE Computer Graphics and Applications",1998,85
992,"IEEE Computer Graphics and Applications",1999,84
992,"IEEE Computer Graphics and Applications",2000,90
992,"IEEE Computer Graphics and Applications",2001,76
992,"IEEE Computer Graphics and Applications",2002,83
992,"IEEE Computer Graphics and Applications",2003,83
992,"IEEE Computer Graphics and Applications",2004,89
992,"IEEE Computer Graphics and Applications",2005,92
992,"IEEE Computer Graphics and Applications",2006,76
992,"IEEE Computer Graphics and Applications",2007,79
992,"IEEE Computer Graphics and Applications",2008,76
992,"IEEE Computer Graphics and Applications",2009,70
992,"IEEE Computer Graphics and Applications",2010,72
992,"IEEE Computer Graphics and Applications",2011,72
992,"IEEE Computer Graphics and Applications",2012,81
992,"IEEE Computer Graphics and Applications",2013,73
992,"IEEE Computer Graphics and Applications",2014,73
992,"IEEE Computer Graphics and Applications",2015,80
992,"IEEE Computer Graphics and Applications",2016,67
992,"IEEE Computer Graphics and Applications",2017,79
992,"IEEE Computer Graphics and Applications",2018,76
992,"IEEE Computer Graphics and Applications",2019,51
993,SUSCOM,2011,28
993,SUSCOM,2012,19
993,SUSCOM,2013,26
993,SUSCOM,2014,29
993,SUSCOM,2015,28
993,SUSCOM,2016,26
993,SUSCOM,2017,28
993,SUSCOM,2018,79
993,SUSCOM,2019,48
994,"Proc. Natl. Acad. Sci. U.S.A.",1997,1
994,"Proc. Natl. Acad. Sci. U.S.A.",1998,3
994,"Proc. Natl. Acad. Sci. U.S.A.",2000,6
994,"Proc. Natl. Acad. Sci. U.S.A.",2002,5
994,"Proc. Natl. Acad. Sci. U.S.A.",2003,2
994,"Proc. Natl. Acad. Sci. U.S.A.",2004,7
994,"Proc. Natl. Acad. Sci. U.S.A.",2005,5
994,"Proc. Natl. Acad. Sci. U.S.A.",2006,8
994,"Proc. Natl. Acad. Sci. U.S.A.",2007,6
994,"Proc. Natl. Acad. Sci. U.S.A.",2008,9
994,"Proc. Natl. Acad. Sci. U.S.A.",2009,13
994,"Proc. Natl. Acad. Sci. U.S.A.",2010,10
994,"Proc. Natl. Acad. Sci. U.S.A.",2011,11
