id,year,label
804,1984,greater than 250
804,1985,greater than 250
804,1986,greater than 250
804,1987,greater than 250
804,1988,greater than 250
804,1989,greater than 250
804,1990,greater than 250
804,1991,greater than 250
804,1992,greater than 250
804,1993,greater than 250
804,1994,greater than 250
804,1995,greater than 250
804,1996,greater than 250
804,1997,greater than 250
804,1998,greater than 250
804,1999,greater than 250
804,2000,greater than 250
804,2001,greater than 250
804,2002,greater than 250
804,2003,greater than 250
804,2004,greater than 250
804,2005,greater than 250
804,2006,greater than 250
804,2007,greater than 250
804,2008,greater than 250
804,2009,greater than 250
804,2010,greater than 250
804,2011,greater than 250
804,2012,greater than 250
804,2013,greater than 250
804,2014,greater than 250
804,2015,greater than 250
804,2016,greater than 250
804,2017,greater than 250
804,2018,greater than 250
804,2019,greater than 250
805,1981,[150-200)
805,1982,greater than 250
805,1983,greater than 250
805,1984,greater than 250
805,1985,greater than 250
805,1986,greater than 250
805,1987,greater than 250
805,1988,greater than 250
805,1989,greater than 250
805,1990,greater than 250
805,1991,greater than 250
805,1992,greater than 250
805,1993,greater than 250
805,1994,greater than 250
805,1995,greater than 250
805,1996,greater than 250
805,1997,greater than 250
805,1998,greater than 250
805,1999,greater than 250
805,2000,greater than 250
805,2001,greater than 250
805,2002,greater than 250
805,2003,greater than 250
805,2004,greater than 250
805,2005,greater than 250
805,2006,greater than 250
805,2007,greater than 250
805,2008,greater than 250
805,2009,greater than 250
805,2010,greater than 250
805,2011,greater than 250
805,2012,greater than 250
805,2013,greater than 250
805,2014,greater than 250
805,2015,greater than 250
805,2016,greater than 250
805,2017,greater than 250
805,2018,greater than 250
805,2019,greater than 250
806,1974,[50-100)
806,1975,[50-100)
806,1977,[100-150)
806,1978,[100-150)
806,1979,[100-150)
806,1980,[150-200)
806,1981,[200-250)
806,1982,[150-200)
806,1983,greater than 250
806,1984,[200-250)
806,1985,greater than 250
806,1986,greater than 250
806,1987,greater than 250
806,1988,greater than 250
806,1989,greater than 250
806,1990,greater than 250
806,1991,greater than 250
806,1992,greater than 250
806,1993,greater than 250
806,1994,greater than 250
806,1995,greater than 250
806,1996,greater than 250
806,1997,greater than 250
806,1998,greater than 250
806,1999,greater than 250
806,2000,greater than 250
806,2001,greater than 250
806,2002,greater than 250
806,2003,greater than 250
806,2004,greater than 250
806,2005,greater than 250
806,2006,greater than 250
806,2007,greater than 250
806,2008,greater than 250
806,2009,greater than 250
806,2010,greater than 250
806,2011,greater than 250
806,2012,greater than 250
806,2013,greater than 250
806,2014,greater than 250
806,2015,greater than 250
806,2016,greater than 250
806,2017,greater than 250
806,2018,greater than 250
806,2019,greater than 250
899,1972,[50-100)
899,1975,[50-100)
899,1976,[50-100)
899,1977,[50-100)
899,1978,[50-100)
899,1979,[50-100)
899,1980,[100-150)
899,1981,[150-200)
899,1982,[100-150)
899,1983,[100-150)
899,1984,[100-150)
899,1985,[50-100)
899,1986,[200-250)
899,1987,greater than 250
899,1988,greater than 250
899,1989,greater than 250
899,1990,greater than 250
899,1991,greater than 250
899,1992,greater than 250
899,1993,greater than 250
899,1994,greater than 250
899,1995,greater than 250
899,1996,greater than 250
899,1997,greater than 250
899,1998,greater than 250
899,1999,greater than 250
899,2000,greater than 250
899,2001,greater than 250
899,2002,greater than 250
899,2003,greater than 250
899,2004,greater than 250
899,2005,greater than 250
899,2006,greater than 250
899,2007,greater than 250
899,2008,greater than 250
899,2009,greater than 250
899,2010,greater than 250
899,2011,greater than 250
899,2012,greater than 250
899,2013,greater than 250
899,2014,greater than 250
899,2015,greater than 250
899,2016,greater than 250
899,2017,greater than 250
899,2018,greater than 250
899,2019,greater than 250
8,1966,[0-50)
8,1967,[0-50)
8,1968,[0-50)
8,1969,[0-50)
8,1970,[50-100)
8,1971,[50-100)
8,1972,[50-100)
8,1973,[0-50)
8,1974,[50-100)
8,1975,[50-100)
8,1976,[50-100)
8,1977,[50-100)
8,1978,[50-100)
8,1979,[50-100)
8,1982,[100-150)
8,2020,[0-50)
802,1952,[0-50)
802,1953,[0-50)
802,1954,[0-50)
802,1955,[50-100)
803,1957,[0-50)
803,1958,[0-50)
803,1959,[0-50)
803,1960,[0-50)
803,1961,[0-50)
803,1962,[50-100)
803,1963,[50-100)
803,1964,[50-100)
803,1965,[50-100)
